protein,pdbid,state,trajectory_url,topology_url,model_url
Cysteinyl_leukotriene_receptor_2,6RZ6,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15946_trj_825.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15943_dyn_825.psf,
Cannabinoid_receptor_1,5U09.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11526_trj_164.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11528_dyn_164.psf,
Prostaglandin_E2_receptor_EP3_subtype,6M9T,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15422_trj_748.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15419_dyn_748.psf,
Orexin/Hypocretin_receptor_type_1,6TOT,unknown,https://gpcrmd.org/dynadb/files/Dynamics/16279_trj_874.xtc,https://gpcrmd.org/dynadb/files/Dynamics/16276_dyn_874.psf,
Glucagon_receptor,5EE7,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15876_trj_815.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15873_dyn_815.psf,
Neurotensin_receptor_type_1,5T04,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15240_trj_722.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15237_dyn_722.psf,
Adenosine_receptor_A2a,5K2C,unknown,https://gpcrmd.org/dynadb/files/Dynamics/17111_trj_998.xtc,https://gpcrmd.org/dynadb/files/Dynamics/17108_dyn_998.psf,
Rhodopsin,6FK9,unknown,https://gpcrmd.org/dynadb/files/Dynamics/15620_trj_777.xtc,https://gpcrmd.org/dynadb/files/Dynamics/15617_dyn_777.psf,
unknown,3W5A,unknown,https://gpcrmd.org/dynadb/files/Dynamics//dyn1516/19467_trj_1312.dcd,https://gpcrmd.org/dynadb/files/Dynamics//dyn1516/19469_dyn_1312.psf,
Lysophosphatidic acid receptor 1,4Z34.A,unknown,https://gpcrmd.org/dynadb/files/Dynamics/11705_trj_183.xtc,https://gpcrmd.org/dynadb/files/Dynamics/11709_dyn_183.psf,
unknown,8T3S,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2630/25206_trj_2283.dcd,https://gpcrmd.org/dynadb/files/Dynamics/dyn2630/25203_dyn_2283.psf,
unknown,6KPF,unknown,https://gpcrmd.org/dynadb/files/Dynamics/dyn2541/24783_trj_2215.xtc,https://gpcrmd.org/dynadb/files/Dynamics/dyn2541/24784_dyn_2215.psf,
